@relation TestTweets

@attribute calculatedScore {-1.0,1.0}
@attribute tweetText string

@data
1.0,'Listening to the \"New Age\" station on @SlackerRadio ? http://slacker.com/r/nqKf'
1.0,'i didnt mean knee high I ment in lengt it goes down to my knees ^-^ and is so cute I love it!'
1.0,'I wana see the vid Kyan'
-1.0,'if my mom went on for the love of ray J or any reality show i\'d bee pissed .'
1.0,'@Mrhilton1985 Welcome to Twitter xx'
1.0,'@kjbmusic oh yeah... however, I\'d still like to be in the midst of it all though... u know...'
1.0,'I need a nice tea-drinking pic for our #Tea Club Membership page - anyone got one they\'d be happy for me to use? http://bit.ly/b1PWLh'
1.0,'@JonathanRKnight so twitpic it lol, I love Home Depot, love working w/my hands and building things, my dad was in construction'
-1.0,'@BarCough it\'s enough to make you sick, eh? there\'s nothing sacred anymore'
1.0,'Hacienda is now level 80 time to get epic gear for her!!!! Oh and maybe some sleep would be good..'
-1.0,'\"Iran, with its unity and God\'s grace, will punch the arrogance (West) 22nd of Bahman (Feb 11) in a way that will leave them stunned,\"'
-1.0,'#4WordsOnObamasHand Don\'t Say The N-Word'
-1.0,'City watchdog in chaos as chief executive Hector Sants resigns just months before general election'
1.0,'RT @MangaUK: God it is a big news day today! By popular demand, \"Ah! My Goddess Season 2\" will be released in 3 2-disc sets: May, Jul, Sep.'
1.0,'@russmarshalek Sold! Would love to be your crazyass big sis -- how could I say no?! Cannot believe I broke or minimally battered my toe --'
1.0,'@zzramesses yes; hope to release that feature next month'
-1.0,'i need money! i need new car!!! jesus...somebody please buy my old car :DDD'
-1.0,'In ny wif @DJWALLAH and the Heavy Hitter crew... shout to @freddyphh for looking real gay in the camera...lol...'
1.0,'RT @RockinGreenSoap: I Flip(in) Love @rockingreensoap! Follow them to win a free Flip Camera! RT Please! http://tinyurl.com/yffv2pg #clothdiapers'
-1.0,'@ShiedhaO well damn! Renee still aint playin, is she?! and neither is Jack!! @LikasParody'
-1.0,'@heydusti oh, geez, I\'d have a lot more songs that way.'
-1.0,'@wendywave1 HAHAHAH that was worded weird. I\'m reading while a candle is burning in my room'
-1.0,'On Insurance and Hospitals: I wonder if there is a connection between the hospital system overload and the format... http://bit.ly/d9QIc5'
-1.0,'Chilling textin (?) ... To much info..foreal you know its los ward yung squad bitch...'
-1.0,'Your busy schedule might not leave you a lot of room today for... More for Scorpio http://twittascope.com/twittascope/?sign=8'
