@relation TestTweets

@attribute calculatedScore {-1.0,1.0}
@attribute tweetText string

@data
-1.0,'no way to underestimate the madness and cynicism and frank and open loathing of country that characterizes today\'s Republicans'
-1.0,'RT @arodsf: no way to underestimate the madness and cynicism and frank and open loathing of country that characterizes today\'s Republicans'
1.0,'All of the \"real\" Democrats won their respective races & will move on 2 face the 6 recalled Republican state senators on August 9 #YesWeCan'
1.0,'I feel like a kid before xmas, i cannot wait to get oneRT @NokiaKnowings: In case you missed it...Nokia N9 release date http://t.co/VjvQpHF'
1.0,'Today *very* rare day when Democrats will get healthier on their Club for Growth scorecards than most Republicans.'
1.0,'RT @StevenTDennis: Today *very* rare day when Democrats will get healthier on their Club for Growth scorecards than most Republicans.'
-1.0,'@charliemax Democrats will quickly implode and concede.  Obama will either veto the Boehner bill or invoke the 14th Amend...then IMPEACH!'
-1.0,'Once again Democrats spent all night and this morning trying to talk down the stock market...whatever happens there can be no blank check!'
1.0,'Walking through Chelsea at this time of day is rather lovely. Love London at night :D'
-1.0,'looking at the temp outside....hpw did it get hotter as the sun goes down???? Feel like i\'m in Vegas just adding humidity'
1.0,'@QuietusCyn @ShatteredYuuki Yeah, It\'s on netflix I think now. I still like the futuristic and action concepts even today.'
-1.0,'Criticism of Rick Perry is ridiculous, which choice?  Obama\'s hip-hop barbecue two days ago, or Perry praying for the President today?'
-1.0,'I\'m stuck in London again... :( I don\'t wanna spend the night in McDonald\'s!'
1.0,'Two good ABs by Hosmer against Verlander tonight, even if he has just a walk and flyout to show for it'
1.0,'@jordanknight Hope u have a great show tonight. Me & the Chi/IN girls are so excited to see you in London tomorrow!'
1.0,'Off to see Toby Keith at the Red Rock Casino amphitheater tonight in Vegas. OH YEAH :-)'
-1.0,'@YoginiJane while the met may not be perfect why don\'t you piss off to somewhere like Mexico City if you don\'t like it!!?? #tottenham'
1.0,'@LAGalaxy Thanks.  Still have love for my Galaxy!! I will cheering us on to victory at the stadium club tonite!! Beat Dallas!!'
-1.0,'One million people marched in London in the past six months. But they don\'t care until 1,000 Tottenhams tonight ~ http://t.co/z8Lv6mn'
1.0,'Going to see Rise of the Planet of the Apes tonight...oh yeah.'
1.0,'I have Austin n Dallas coming deep to Venue tonight.  HTown...lets show em how we do it out chea'
1.0,'Kicking off in London tonight? Wait til you see the West Ham fans tomorrow after we\'ve beaten them 3-0 ;)'
1.0,'Watch ESPN tonight to see me burning @JRGessler for a sick goal on the top ten. #realbackyardFIFA'
1.0,'I saw okay movie there friday night\"Rise of the Planet of the Apes\",i still like Conquest'
1.0,'had a great day today yay soxs beat yankees!!'
-1.0,'@ExecutiveOtaku o_O Well, (un)fortunately, you\'ll prob need at least one of those if you come to London in late Oct.!'
1.0,'RT @ESPNStatsInfo: Red Sox, Phillies flying high as they take out the Yankees and Giants this afternoon. CC rocked, Hamels dominates...  ...'
1.0,'@Davidheartbreak WWOOO fasho! u know i gotchu! ima c u in vegas on the 21st blud!'
1.0,'@Swimfanatic454 thanks I am! :)I saw the hollywood sign today!!!!! And in Disney I got to meet a really hot Aladdin lol :)'
-1.0,'So dry, liquidambar is dropping leaves. Keeps threatening rain, but then we just get a shower.By contrast Scotland to get up to 4\" tomorrow'
-1.0,'Congratulations to all the idiots rioting in nth London tonight - suppose we\'ll see you in the education related protests soon #singlecell'
1.0,'@NerdBlurt @tom_howarth and the Sox beat the Yankees today so I can smile!'
-1.0,'My 1st Ever Male frnd in London just send me a Ping!!! Dat ping is so annoying, he is my 1st gud frnd bet why dis Ping??? Angry much'
1.0,'Just found all of ST: Voyager on Netflix. I know what I\'m doing for the rest of the night. Woo!!'
-1.0,'PRAY NO ONE GETS HURT OR KILLED IN LONDON TONIGHT GUYS. This looks like it\'s gonna go on for hours.'
1.0,'@ChadLindberg dude you definitely need to get a part in True Blood. We had pole dancers again this year at the uk convention party tonight'
1.0,'Twitterverse blowing up about Shannon Sharpe\'s awesome Hall of Fame speech. We\'ll have the video clip on NFL.com a little later tonight.'
1.0,'RT @nfl: Twitterverse blowing up about Shannon Sharpe\'s awesome Hall of Fame speech. We\'ll have the video clip on NFL.com a little later ...'
-1.0,'We will explain the true cause of the London riots on the front page of The Sun : immigrants. \'Hero Police\' will also get a headline.'
1.0,'@missmariejames Party in the House tonight everybody gonna have a good time...Happy Independence Day #JAMAICA'
1.0,'Excited to go see Rise of the Planet of the Apes tonight'
1.0,'Wow. Just read a transcript of Shannon Sharpe\'s NFL hall of fame induction speech. I hope espn replays it again tonight.'
1.0,'Enjoying a night of #Dexter with @DomoniqueP07 :)'
1.0,'Had a little trip out to the old town of Albuquerque, could easily be Mexico or Spain! Off to Vegas 2moz should get there Monday morning!'
1.0,'Dallas!!! Are you ready to come have a great night with us?! We can\'t wait to blow the roof off with you!'
1.0,'Kolchak the Night Stalker. Before the x-files, excellent scary tv. On Netflix huzah'
1.0,'Yep and that might b my move in Dallas tonight RT @AntwannetteBond: True! Tht would b fun.. @Breedlove_08'
1.0,'Win or lose I think most Dallas fans would agree it\'s just great to play in games as big as this one tonight again after yrs of mediocrity.'
1.0,'@Gaga_Magnifique haha I duno=p I\'ll try to save heaps but Mum said shed go halves and get me an iPad for my 21st but I said I want money hah'
1.0,'@madisonstapp haha we totally should!!! My mom just asked me if I wanted to leave thurs and stay in NYC until sat then go to Italy and idk?'
1.0,'Boise State, Chattanooga, Embry-Riddle and Virginia Tech receive their charters tonight, congrats and welcome gentlemen! #duli11'
1.0,'Ok sir RT @jikiboy: Nigeria will still top the group.If we lose,we\'ll be 2nd & face Brazil. (cont) http://tl.gd/c7ivc1'
1.0,'Another huge fireworks show @ dearborn homecoming, big enough to rival detroit s, & it happen again tomorrow night!'
1.0,'Wow!! Lady Gaga is actually at the Britney Spears Femme Fatale Concert tonight!!! She still listens to her music!!!! WOW!!!'
1.0,'Finally wrapped up shooting in Vegas, time for a good night on the town :)'
1.0,'@justinbieber is creeping! RT me Justin LOVE YA so excited for the concert in october MEXICO LOVES YOU&lt;3 u inspire me'
1.0,'RT @RoxyReynolds: 007 in Detroit wed august 17th I\'ll be dancing live!!!!! D town stand up !!! Get ready its going down!'
1.0,'@Just1Jerrah vegas here i come yeah watch out las vegas the  bring back the brown sd is taking over at las vegas next week and tomorrow'
1.0,'@Social3i Do it! With all the shade, it\'s the perfect summer outing. Plus the penguins, lions, bears, wolves... were all very active today.'
1.0,'hmmm..thinking that now is a good time to win the lottery. #311Day2012 in Vegas AND #311Cruise in May...decisions to be made!'
-1.0,'I may have just thrown a lime at an NFL player. Apologies forthcoming #ivaluemylife'
-1.0,'Let\'s see what shitty movie Netflix has recommended for me to watch tonight.'
1.0,'just got back to the crib today wasnt so bad went to Detroit and Somerset'
-1.0,'I want to see EB but idk don\'t look to good guess ill call it a netflix night.'
1.0,'@Huda_Shami he\'s a very good looking guy. Is s3 on netflix? i think I\'m watching it tonight'
1.0,'@TheCrossbarRSL It\'s pretty cool, that\'s for sure... USWMT WC, USMNT, EPL on Sat. Mornngs on all on ESPN along with Summer Euro matches #Fun'
1.0,'Got some more great pix and vids tonight in Chicago... Not sure when they\'ll get uploaded, since I\'m headed to Detroit tomorrow.'
1.0,'Talk to my Dad tonight and we suppose to go to Detroit in October to c all my family nd my great granny!!'
1.0,'Hope @elianacwg_31  lives it up tonight.. love you mama.. Will visit Dallas soon :))'
-1.0,'Today a white boy told me nicki minaj was the best female rapper. I beg to differ. Since when do schizophrenics get recognized like that?'
1.0,'@britneyspears: \"So amazing to have the beautiful Lady Gaga at the show in AC tonight. Love you girl.- Britney\"'
1.0,'@xxFranchizexx LMFAO! You know why they call Japan the \"Land of the Rising Sun\" right?...Cause everyone there is squinting all day long.'
1.0,'watching Kung Fu Panda 2 with the tribe & the nieces...a mellow evening'
1.0,'morning tweeps! i\'m going to Milan today! yaay'
1.0,'Belladonna\'s Zylona is at Aladdin\'s tonight - come enjoy the show!  Hold on to your hookahs - here\'s directions http://t.co/80FMrRs'
1.0,'@MILANSOLO Thanks for your many tweets tonight Milan.  Can\'t believe I was in the wrong place (MilansOfficial).  You made all fans so happy.'
1.0,'Tigers beat Kansas City tonight 4-3...Yay! And Austin Jackson got 1# on ESPN Sportcenter Top Plays..........Hurrah! Nice catch Austin!'
1.0,'@NancySeeger lol! Gonna make up for day off tomorrow! Also bought vertical iPad stand so I can browser test w/the lot of \'em. #geekgirl'
1.0,'@Mod_Tr3chic lol look for the bright tiger woods, not hard to miss me today'
-1.0,'Totally crashed my iPad tonight.  It locked up, and wouldn\'t even power off.  Used the Hold PWR and HOME bttn trick, to force reboot.'
-1.0,'Here is the nip slip that happened yesterday on Good Morning America....and Nicki Minaj is not happy but ABC has... http://fb.me/EVXID9e9'
-1.0,'RT @__BigAssCHOPPA: One thing i learned from living in detroit was when a nigga pull out a gun you get the fuck on. Crazy ass night already!'
-1.0,'@Daggy1 obama\'s goal is to lead us into 3rd world status, so you\'re absolutely right, \"obama doesn\'t care\"'
-1.0,'My random rant of the night:Lady Gaga being considered a fashion icon!Who in their right mind considers that fashion?She dresses in trash.'
1.0,'Having a good but long time in NFL training camp #grind half day tomorrow=go time tonight'
-1.0,'MacDougall is killing the Raiders.  Mad Dog scores 2nd after good leadup work from Gidley and Houston. Gidley misses kick. Knights 16-4'
-1.0,'Check this video out -- Obama, Sarkozy, Cameron, how many children did you kill this night? http://t.co/AvYCIQJ via @youtube'
1.0,'Well since it\'s been the 7th here n Japan 4 over 12 hrs I\'d like 2 wish my BFF @MiaMcK a grand 26th. Sad I can\'t b there w/you.'
1.0,'@HavokGrimey yes. Mexico.! im not from nikaragua. lma0. i swear idk were yu got that from.. im not even dark.! on the 17th(='
-1.0,'Yesterday is the day the atomic bomb in Japan.\n I embarrassed as a Japanese, was a moment of silence for the first time.'
1.0,'@TheCrapLab lmao no nigga on NFL fantasy i got pretty good team ill show you tomorrow'
1.0,'RT @deltaupsilon: Boise State, Chattanooga, Embry-Riddle and Virginia Tech receive their charters tonight, congrats and welcome gentleme ...'
1.0,'Man I love @kmaiadanyelle..She stayed the night last night from Detroit and we had a blast. Love you 2wee.Even tho we\'re right nxt to e/o HA'
1.0,'Went to see \"Rise of the Planet of the Apes\" tonight Great movie B+ for sure.  !!lChris-Rockz!!!'
1.0,'Caught up on True Blood!! I love it... Now time for bed! Night peeps.. be safe tonight :)!!!'
1.0,'RT @imthereal_LD: ESPN got some good stuff on tonight.'
-1.0,'why did i just hear some car driving slowly down 24th street blarring.............. Elvis Presley?'
1.0,'@360FromTheEdge Happy B\'day in Italy :-) I know it\'s tomorrow but party is today! enjoy your time a mom&davide my disabled boy: we love U2'
1.0,'#NW True Blood can\'t wait til the new one comes on tomorrow'
1.0,'@coronasfinest ooo ... I think he\'s in Milan. \nAre  you happy today?'
1.0,'Witnessed a perfectly executed crash landing in the gulf of Mexico today. #whatabadass http://t.co/gk4GpJi'
1.0,'@Yuki_18_j Good morning, yuki~! Oh, i like your name too. Does It means snow? Riko isn\'t my real name, i\'ve chose it because i like japan.'
-1.0,'@xxxBiBiJones Sorry about the Yankees... there is always tomorrow.  Want to fly to New York for a game?'
-1.0,'@ScoreboardSteve I gave Verlander a slight edge over CC, but after today against Boston, he is no Cy Young material.'
1.0,'I\'m really dying to hear that track with Beyonce and the full version of \"That\'s My Bitch\" off Watch the Throne. Monday must come sooner'
-1.0,'@arakha Oooh. Haha. Well unfortunately I really shouldn\'t watch another tonight. Although I might. But it\'d be Blue which will make me'
1.0,'Went to see \"Rise of the Planet of the Apes\" tonight. It was pretty dope; I give it 5 Bananas.'
1.0,'Concert in Dallas was a success tonight! T\'was very hot tho! Church in the a.m. Then back to Detroit!'
1.0,'All set for an amazing day tomorrow as I present to the church what happened in Ireland! Hopefully it goes smoothly!!'
1.0,'I may love asians from Japan! But I have a girl that I\'m gonna marry. Believe it! She\'s a ghetto ass short girl that\'s clumsy as fuck lol.'
-1.0,'@SusanLambe yeah i know what you mean, spent too much time catching up on Dexter today'
1.0,'waww,, I wanna have it RT @ElmiraGriswold3 @Vah_Raflatahugs wow,ipad got just today free lol www.burna.in/fgye'
1.0,'Cant wait to rock \"Apologize\" by One Republic  & \"Jesus Freak\" by DC Talk tonight      gettin redy to rock Sasabo, Japan'
-1.0,'@Seanzha it\'s Mexican! Sorry for the late answer, iPad\' charging fucked me yesterday :D'
1.0,'You\'re going to ban straight to DVD Disney movies? \"Aladdin 4: Jafar May Need Glasses\" 1 or 2? Umm... Hahahah #FamilyGuy'
-1.0,'@philipwkleung 3 grown adult males watching Kung Fu Panda 2. On 2nd thought it would be awkward anywhere but HK, land of \"Murses\"'
1.0,'Nothing like a steak dinner then True Blood on demand with my favorite person on earth! Perfect saturday night :)'
1.0,'Tweet di Brintey\nSo amazing to have the beautiful Lady Gaga at the show in AC tonight. Love you girl.- Britney http://fb.me/13C1kUZaw'
-1.0,'DeSean Jackson suppose to be at Training Camp on Monday...hope the Eagles lock him up and extend Mike Vick...'
1.0,'RT @ZaidJilani: The brilliant Drew Westen offers a great critique of the Obama presidency: http://t.co/DOBUyVU'
1.0,'@NuckHeadJJ Glad Twilight night was a success. I\'ll make it to the next one!  Sorry to be the lame-o!'
1.0,'\"@nfl: Twitterverse blowing up about Shannon Sharpe\'s awesome HOF speech. We\'ll have the video clip on NFL.com a little later tonight.\"'
-1.0,'RT @pcam: @amish_man He may be that, but Obama spent $239 Billion a day after getting Uncle Sam\'s Credit Card in his hot little hands, s ...'
-1.0,'Facebook scam says Lady Gaga\'s dead! -  Realbollywood.com News: London, Aug 7: A scam doing the rounds on ... http://tinyurl.com/3kttasu'
1.0,'@Sara__Rodrigo its almost 6pm in japan now..heheh..but good morning to you too'
1.0,'RT @msolveig: We love Italy ! Tonight in Marina di Pietrasanta with @IamLafaille'
1.0,'Mom left for Scotland today. Or Ireland... Keep forgetting where she went to. But both places have cool accents! I know that!'
1.0,'@yorikirii Quieter. My sis, brother in law and habibti are going back to Ireland this afternoon ;/ Tennis doubles sounds fun! Enjoy! #Juice!'
-1.0,'So we arrived in Scotland yesterday and it hasnt stopped raining since. And to make things worse its sunny at home. #typical'
