0,🔥,-0.3,4.87,2.21
1,💥,-0.0,5.16,2.27
2,🇺,+0.9,5.54,2.35
3,🇸,+0.9,5.52,2.35
4,🤔,-0.2,4.68,2.16
5,🦊,-0.5,4.17,2.04
6,🙄,-0.2,4.95,2.22
7,🎉,+2.0,3.78,1.94
8,🍾,+2.7,0.85,0.92
9,😝,-0.0,5.88,2.42
10,🤷,-0.3,4.74,2.18
11,🏻,+0.4,5.82,2.41
12,👍,+1.1,4.99,2.23
13,🏼,+0.5,5.95,2.44
14,😂,+0.2,5.00,2.24
15,👇,-0.1,5.17,2.27
16,🇾,-0.4,4.10,2.03
17,🇷,+0.1,5.21,2.28
18,🙏,+1.5,5.29,2.30
19,👉,-0.1,4.57,2.14
20,🔴,+0.4,3.34,1.83
21,🔵,+0.9,3.92,1.98
22,😳,-0.1,4.99,2.23
23,🚨,+0.0,4.24,2.06
24,😒,-0.1,4.99,2.23
25,💔,-0.7,5.24,2.29
26,:),+0.8,4.67,2.16
27,😔,-0.5,5.56,2.36
28,🌷,+2.0,4.41,2.10
29,🌞,+1.6,2.29,1.51
30,😀,+0.8,4.52,2.13
31,🎊,+2.9,1.43,1.20
32,💛,+2.5,0.95,0.98
33,💋,+0.5,5.06,2.25
34,👊,-0.0,5.22,2.28
35,🤣,+0.4,5.54,2.35
36,😐,-0.3,4.61,2.15
37,🐀,-1.2,5.30,2.30
38,😇,+0.9,4.86,2.20
39,🤥,-1.4,4.51,2.12
40,👏,+1.1,5.21,2.28
41,🤮,-0.8,4.34,2.08
42,😉,+0.5,4.93,2.22
43,💙,+1.4,5.32,2.31
44,🌊,+0.4,6.04,2.46
45,👀,+0.3,4.50,2.12
46,👁,-1.0,3.32,1.82
47,😏,-0.1,5.18,2.28
48,😢,-0.6,4.75,2.18
49,👋,+1.0,5.69,2.39
50,😱,-0.7,4.85,2.20
51,💯,+0.2,6.24,2.50
52,🏾,+0.5,5.80,2.41
53,🏽,-0.1,5.84,2.42
54,💀,-1.2,4.81,2.19
55,😊,+1.2,4.51,2.12
56,😘,+1.2,5.08,2.25
57,😋,+0.2,6.05,2.46
58,😎,+0.7,5.10,2.26
59,😁,+0.4,5.19,2.28
60,👎,-0.5,5.29,2.30
